month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_converged,N_conv_duty_stable,T_conv_duty_stable_seconds,duty_mean,duty_std,duty_min,duty_max,duty_range,duty_step_mean,duty_step_max,duty_mean_after_stable,duty_std_after_stable,duty_step_mean_after_stable,duty_range_after_stable,duty_final_mean,duty_final_std,duty_final_range,duty_final_step_mean,duty_saturation_percent,duty_saturation_after_stable_percent,gbest_consistency_violations,gbest_monotonic_violations,stability_score,duty_std_after_conv,P_ripple_after_conv,error_mean,mean_abs_error,max_abs_error,error_saturation_percent,delta_e_mean,mean_abs_delta_e,max_abs_delta_e,delta_e_saturation_percent,std_abs_error
Jan_2023,20230101,3050,263.0,1292,15980.0,1,1655,19610.0,19.7327868852459,18.92481561040054,0.0,49.0,49.0,0.023278688524590165,1.0,0.05591397849462366,0.2646547108610238,0.01003584229390681,2.0,0.0,0.0,0.0,0.0,43.57377049180327,95.26881720430107,0,0,2.0362825162757354,12.74715128909402,98.81780284562562,0.0029508196721311475,0.0029508196721311475,3.0,0.0,0.0,0.005245901639344262,3.0,0.0,0.07007806784554763
Jan_2023,20230102,3097,264.0,1148,14540.0,0,-1,-1.0,19.71197933484017,14.500190295092269,0.0,49.0,49.0,0.05069422021310946,1.0,43.49,5.96892286773795,0.155,20.0,43.49,5.96892286773795,20.0,0.155,5.715208266063933,0.0,0,0,5.229052673533837,10.126945482006427,96.75503485213439,-0.002583144979011947,0.002583144979011947,8.0,0.0,0.0,0.005166289958023894,8.0,0.0,0.1437538167566189
Jan_2023,20230103,3026,264.0,1116,13860.0,0,-1,-1.0,34.96463978849967,15.93118690444169,2.0,58.0,56.0,0.06708526107072042,1.0,55.575,1.0146539375892287,0.02,3.0,55.575,1.0146539375892287,3.0,0.02,0.0,0.0,0,0,8.107240017107825,12.534071737336502,96.14956020458605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230104,3146,264.0,1387,15290.0,0,-1,-1.0,51.74253019707565,3.3909750913026575,45.0,59.0,14.0,0.03242212333121424,1.0,46.04,2.097713519537463,0.03,6.0,46.04,2.097713519537463,6.0,0.03,0.0,0.0,0,0,7.284534300462978,2.6966702676441634,91.48849364499921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230105,3234,287.0,1356,16550.0,0,-1,-1.0,78.41960420531849,14.860872436301038,50.0,100.0,50.0,0.05844155844155844,1.0,74.085,2.965085777568958,0.045,8.0,74.085,2.965085777568958,8.0,0.045,17.130488559059987,0.0,0,0,6.752155355606237,9.446692371122044,108.39714366098265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230106,3179,272.0,1087,13860.0,0,-1,-1.0,92.2500786410821,7.884355052120494,73.0,100.0,27.0,0.049072035231204784,1.0,92.21,4.364762969382698,0.055,10.0,92.21,4.364762969382698,10.0,0.055,20.25794274929223,0.0,0,0,6.0902218982372744,4.90095191077952,103.20510748021714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230107,3255,287.0,907,12130.0,0,-1,-1.0,52.812596006144396,36.140363882028495,2.0,97.0,95.0,0.09370199692780339,1.0,86.615,4.849159384230254,0.07,14.0,86.615,4.849159384230254,14.0,0.07,0.0,0.0,0,0,5.773952290724558,39.804694308269696,84.92473808132354,0.002457757296466974,0.004915514592933948,3.0,0.0,0.0,0.007987711213517665,3.0,0.0,0.0820776458028539
Jan_2023,20230108,3274,16383.0,3159,33010.0,1,3034,31580.0,66.55406230910202,18.82752477802437,42.0,100.0,58.0,0.06902871105681124,1.0,45.94166666666667,0.7685865234783423,0.029166666666666667,4.0,45.955,0.8162760149994096,3.0,0.025,10.109957238851559,0.0,0,0,45.50101460364707,1.0772595680541202,7833.639386964644,0.0036652412950519244,0.010995723885155772,4.0,0.0,0.0,0.021991447770311544,5.0,0.0,0.14582922802319165
Jan_2023,20230109,3188,320.0,1048,13160.0,0,-1,-1.0,21.36323713927227,8.924769623418982,0.0,45.0,45.0,0.0959849435382685,1.0,23.525,1.4901266345296542,0.02,3.0,23.525,1.4901266345296542,3.0,0.02,1.6938519447929739,0.0,0,0,7.8063240788307535,6.812464182948827,82.48040945192521,0.0003136762860727729,0.00533249686323714,3.0,0.0,0.0,0.01066499372647428,3.0,0.0,0.09524191376620414
Jan_2023,20230110,3077,264.0,1222,15110.0,0,-1,-1.0,8.26259343516412,6.579854201144459,0.0,24.0,24.0,0.0718232044198895,1.0,10.595,1.9570706753054943,0.05,10.0,10.595,1.9570706753054943,10.0,0.05,25.056873578160545,0.0,0,0,7.139251476491818,5.588526614825574,94.86675407965052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230111,3256,264.0,1239,15210.0,0,-1,-1.0,27.652334152334152,23.828589382701907,0.0,80.0,80.0,0.06357493857493858,1.0,0.955,1.504757948113935,0.02,4.0,0.955,1.504757948113935,4.0,0.02,22.2972972972973,70.0,0,0,2.0866041745743544,27.503215775351357,98.52010458045397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230112,3049,336.0,698,10040.0,1,2835,31410.0,51.03706133158413,24.801646265986598,4.0,94.0,90.0,0.05837979665464087,1.0,92.37383177570094,0.7508788526652823,0.037383177570093455,4.0,92.48,0.649390901317202,4.0,0.03,0.0,0.0,0,0,45.698366383135436,24.294785249404228,95.97572627224591,0.0055755985569039025,0.00754345687110528,5.0,0.0,0.0,0.012463102656608724,5.0,0.0,0.14126641833361273
Jan_2023,20230113,3229,280.0,1529,18090.0,0,-1,-1.0,93.05048002477547,7.528606570996755,76.0,100.0,24.0,0.041498916073087644,1.0,99.42,1.5347237159899858,0.03,6.0,99.42,1.5347237159899858,6.0,0.03,32.54877671105606,86.0,0,0,1.7804770215851733,2.5308699637195162,102.2329914072639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230114,3130,280.0,1278,15440.0,0,-1,-1.0,58.27092651757189,28.292779736305988,19.0,100.0,81.0,0.11309904153354633,1.0,41.54,1.055447700857902,0.015,3.0,41.54,1.055447700857902,3.0,0.015,3.738019169329074,0.0,0,0,8.083781801451286,16.880797763789808,97.31866819579555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230115,3115,280.0,1248,15170.0,1,2887,31560.0,50.05521669341894,9.80812226047408,34.0,69.0,35.0,0.06934189406099518,1.0,46.21491228070175,0.4222307981388592,0.008771929824561403,2.0,46.1,0.30075282427025124,1.0,0.005,0.0,0.0,0,0,61.31197593082306,7.1926890501485,94.45092804351198,0.00032102728731942215,0.00032102728731942215,1.0,0.0,0.0,0.0006420545746388443,1.0,0.0,0.017917234365811652
Jan_2023,20230116,3129,279.0,1328,15880.0,1,2687,29470.0,65.90987535953978,23.450187894612785,35.0,100.0,65.0,0.06263982102908278,1.0,92.01131221719457,0.1254781233611598,0.004524886877828055,2.0,92.0,0.0,0.0,0.0,2.109300095877277,0.0,0,0,75.18779974943894,20.33042883470788,96.08493903782166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230117,3168,272.0,1322,15910.0,1,2917,31860.0,56.69602272727273,25.429957731009615,14.0,100.0,86.0,0.061237373737373736,1.0,14.414342629482071,0.8072381718770851,0.00796812749003984,2.0,14.01,0.09974842727441166,1.0,0.005,3.3775252525252526,0.0,0,0,49.622711099804015,14.452243807564765,94.17137555665586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230118,3172,272.0,1172,14260.0,0,-1,-1.0,27.85844892812106,17.50186225680675,0.0,53.0,53.0,0.047604035308953345,1.0,51.365,1.4705740170758128,0.015,3.0,51.365,1.4705740170758128,3.0,0.015,6.273644388398488,0.0,0,0,7.821314855824595,15.121979802147875,94.27385628576724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230119,3210,272.0,1303,15500.0,1,2918,31650.0,66.16604361370716,25.023918123776507,28.0,100.0,72.0,0.056386292834890966,1.0,99.97602739726027,0.17421588476526095,0.00684931506849315,2.0,100.0,0.0,0.0,0.0,9.127725856697818,97.94520547945206,0,0,1.985952644403808,22.558920544618996,94.91092565360623,0.0012461059190031153,0.001869158878504673,1.0,0.0,0.0,0.003115264797507788,1.0,0.0,0.04320007533323075
Jan_2023,20230120,3208,280.0,1401,16500.0,1,2982,32310.0,94.4323566084788,6.479617640885423,78.0,100.0,22.0,0.033042394014962596,1.0,95.97345132743362,0.18667509462642742,0.008849557522123894,2.0,96.0,0.0,0.0,0.0,34.00872817955112,0.0,0,0,71.65763775368632,7.21071963189781,96.91752621278991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230121,3235,272.0,1198,14470.0,1,2921,31700.0,86.27789799072643,8.105121984455993,70.0,100.0,30.0,0.06893353941267388,1.0,90.78980891719745,0.9726735799245134,0.01910828025477707,4.0,91.06,1.073387536735964,3.0,0.015,5.378670788253478,0.0,0,0,41.80983293873794,4.922115967700663,95.34566143549301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan_2023,20230122,3402,263.0,1719,18180.0,0,-1,-1.0,76.41093474426808,17.733874389449706,35.0,100.0,65.0,0.07818930041152264,1.0,81.12,3.2026371043423807,0.045,9.0,81.12,3.2026371043423807,9.0,0.045,10.405643738977071,0.0,0,0,6.6016897098315726,15.826966395455926,34.18933921313833,-0.0005878894767783657,0.001763668430335097,1.0,0.0,0.0,0.003527336860670194,2.0,0.0,0.041965170831280506
Jan_2023,20230123,3348,375.0,1453,16690.0,0,-1,-1.0,80.70489844683394,9.691976106869612,67.0,100.0,33.0,0.05704898446833931,1.0,99.815,0.7023113312699366,0.015,3.0,99.815,0.7023113312699366,3.0,0.015,6.511350059737156,93.0,0,0,1.708896012564455,12.472752157415805,103.73613997626796,0.010752688172043012,0.019115890083632018,6.0,0.0,0.0,0.03524492234169654,6.0,0.0,0.22588443377745207
Jan_2023,20230124,3510,287.0,1537,16410.0,0,-1,-1.0,90.67321937321937,9.462743350569475,67.0,100.0,33.0,0.08831908831908832,1.0,90.05,1.3176421762081743,0.025,3.0,90.05,1.3176421762081743,3.0,0.025,24.188034188034187,0.0,0,0,7.909739009159583,4.712090501789571,87.38987347223832,0.0,0.0011396011396011395,1.0,0.0,0.0,0.002279202279202279,1.0,0.0,0.033743545219137805
