month,n_days,P_best_final_mean,P_best_final_std,N_conv_98_mean,N_conv_98_std,T_conv_98_seconds_mean,T_conv_98_seconds_std,duty_converged_mean,duty_converged_std,N_conv_duty_stable_mean,N_conv_duty_stable_std,T_conv_duty_stable_seconds_mean,T_conv_duty_stable_seconds_std,duty_mean_mean,duty_mean_std,duty_std_mean,duty_std_std,duty_min_mean,duty_min_std,duty_max_mean,duty_max_std,duty_range_mean,duty_range_std,duty_step_mean_mean,duty_step_mean_std,duty_step_max_mean,duty_step_max_std,duty_mean_after_stable_mean,duty_mean_after_stable_std,duty_std_after_stable_mean,duty_std_after_stable_std,duty_step_mean_after_stable_mean,duty_step_mean_after_stable_std,duty_range_after_stable_mean,duty_range_after_stable_std,duty_final_mean_mean,duty_final_mean_std,duty_final_std_mean,duty_final_std_std,duty_final_range_mean,duty_final_range_std,duty_final_step_mean_mean,duty_final_step_mean_std,duty_saturation_percent_mean,duty_saturation_percent_std,duty_saturation_after_stable_percent_mean,duty_saturation_after_stable_percent_std,gbest_consistency_violations_mean,gbest_consistency_violations_std,gbest_monotonic_violations_mean,gbest_monotonic_violations_std,stability_score_mean,stability_score_std,duty_std_after_conv_mean,duty_std_after_conv_std,P_ripple_after_conv_mean,P_ripple_after_conv_std,error_mean_mean,error_mean_std,mean_abs_error_mean,mean_abs_error_std,max_abs_error_mean,max_abs_error_std,error_saturation_percent_mean,error_saturation_percent_std,delta_e_mean_mean,delta_e_mean_std,mean_abs_delta_e_mean,mean_abs_delta_e_std,max_abs_delta_e_mean,max_abs_delta_e_std,delta_e_saturation_percent_mean,delta_e_saturation_percent_std,std_abs_error_mean,std_abs_error_std
May_2022,31,2995.064516129032,1309.2069084114466,1800.0967741935483,694.0509757858189,21958.387096774193,10511.140469924976,1.0,0.0,3115.2903225806454,1448.965497485439,33425.16129032258,16316.720028030091,8.360878391736989,12.385748534350682,2.4001553636030724,2.507843542236326,4.935483870967742,11.803771950442982,16.096774193548388,13.643935988097857,11.161290322580646,8.28692453685744,0.0815574032644473,0.06931964581212487,5.419354838709677,4.507580234437594,7.830074507127668,12.12050225210043,0.42136510290923757,0.2505052039788779,0.034541972451775156,0.024152247175268156,2.6129032258064515,1.2021486140750572,7.8512903225806445,12.162503303716024,0.027183078453297545,0.09279902460458898,0.22580645161290322,0.5603378397214093,0.0024193548387096775,0.005897876417538701,3.6691989516727745,4.379172632598224,0.8845921880698173,2.553755742503229,0.0,0.0,0.0,0.0,57.03412223676034,22.58713292119316,1.6963284667222749,1.4499072038274785,1000.5867304530494,456.1510954172604,0.3245387485945224,0.5092184058126735,0.5235895720700448,0.6429105677908944,56.903225806451616,43.18669149843091,0.12177828438240569,0.2571196410489234,-7.200503958234746e-05,0.003884288807126263,0.8931925376888112,1.0774809963613903,57.903225806451616,42.30079182766336,0.19377970851040016,0.4082193961497873,3.579315061094213,3.799290347264569
Jun_2022,30,848.2,2935.9093803547776,2022.9,748.1179304969468,35748.666666666664,11940.40510296818,0.13333333333333333,0.34574590364176044,4779.75,247.71808573457045,66735.0,7608.646397356103,51.25625526564167,22.67260119857531,16.195968538018597,5.709368316735032,21.8,20.361220747902802,81.76666666666667,18.479594213587337,59.96666666666667,17.058688418946886,0.10296182429726758,0.022491379647352698,1.1666666666666667,0.3790490217894517,51.94127513701509,29.346372174084713,2.6684294530310257,1.453799079627296,0.06180809754047891,0.03572122837253118,8.266666666666667,4.025207926377806,51.92133333333334,29.35662293639861,2.6649883908847327,1.4609427998949576,8.166666666666666,4.202489683536401,0.0615,0.036226062250911246,4.506761012868725,6.533226940300378,6.042889656254904,17.54600807591484,0.0,0.0,0.0,0.0,9.92800689113466,14.393969247216912,13.299958581887571,6.006258949867394,130.37507540863413,131.19009478017043,0.011252094791966984,0.01903037372981986,0.01583474982519713,0.02478772266597433,6.933333333333334,6.5333802484827395,0.0,0.0,0.0,0.0,0.028814936015823366,0.0440454362902313,6.966666666666667,6.477991032418304,0.0,0.0,0.2172501525856084,0.2624811489678139
Jul_2022,31,1404.774193548387,3998.613999122508,2298.7096774193546,823.5274613331923,37114.83870967742,14370.788860501647,0.0967741935483871,0.3005371535187643,4696.333333333333,558.2018750714954,70333.33333333333,5965.604188456801,38.43867026127226,23.912778622880293,17.44623037919433,6.743526418856643,10.451612903225806,15.152202721447068,71.41935483870968,24.326630392155817,60.96774193548387,18.454419291807845,0.101065909553677,0.0156478497431399,1.1290322580645162,0.3407771005482389,40.624975064278296,25.98920564890606,3.083237476514939,2.0536522694382002,0.05580799775465087,0.032284187709491576,9.806451612903226,6.225856593480181,40.63983870967741,26.013551580021744,3.059123817161962,2.0870740226274274,9.612903225806452,6.479081310159327,0.055161290322580644,0.03317840339155734,7.755250771393247,7.015798987261692,7.465149130963451,24.00669434626916,0.0,0.0,0.0,0.0,7.301935267691504,6.5173427760698415,12.480525864567463,6.265368005623127,276.69099442840945,774.5767384194704,0.02294124132032578,0.02759040866078415,0.03252500833390746,0.036013461989580046,8.67741935483871,5.629606835142181,0.0,0.0,0.0,0.0,0.05773139087503222,0.06346621880025663,9.129032258064516,6.059383552165853,0.0,0.0,0.3382819222795456,0.29385296080508577
Sep_2022,30,4626.4,7210.760319564566,1527.1333333333334,950.5253260183543,24205.666666666668,17089.237121717833,0.16666666666666666,0.3790490217894517,4087.4,267.00805231303417,57934.0,12869.484449658425,64.16945732151433,28.057862320080254,11.205007030002129,4.358517105042908,40.733333333333334,25.821580567202034,84.4,23.979301419176583,43.666666666666664,14.41821963597671,0.09934365938594675,0.02580470715038351,1.2333333333333334,0.43018306715207627,64.67390179320141,27.731146140585526,2.4776848560220985,1.5245421317782273,0.059032592901325655,0.03649820751101246,8.833333333333334,5.502872812940738,64.67883333333333,27.7196481941194,2.464113009190454,1.5412962123116707,8.733333333333333,5.625884349383986,0.05833333333333333,0.03730890005063813,7.103436507742109,7.22897325801567,6.3048343475321165,18.572878337825532,0.0,0.0,0.0,0.0,12.159586656075032,15.872061462315516,10.574377696636732,4.7381545204529845,263.38719423607284,667.4423085126617,0.018927207740633025,0.04839895354340625,0.03008975051628045,0.05811322379530515,7.533333333333333,6.6318631767703335,0.0,0.0,0.0,0.0,0.053576435391345816,0.1007426596674467,7.6,6.625967723726253,0.0,0.0,0.3053728970036812,0.36099662962877227
Oct_2022,31,4987.064516129032,7409.408536608411,1608.1612903225807,961.7245307874182,16805.8064516129,9840.274309927729,0.1935483870967742,0.4016096644512494,3391.8333333333335,311.7443931599519,35340.0,2271.7834403833476,48.04194787929296,28.225581542184493,13.948659464820405,6.862040446498098,24.548387096774192,26.57422148082287,73.87096774193549,29.054823966063275,49.32258064516129,21.822598526564448,0.09262170715968258,0.023026579869101033,1.096774193548387,0.3005371535187643,46.48369492940304,31.016260608563083,2.9016734047558104,2.397906336849682,0.06979020953141367,0.048312469092372926,9.64516129032258,7.914326196195412,46.49919354838708,31.007365579186025,2.8708122118328006,2.4325911890218137,9.35483870967742,8.199790188766109,0.06758064516129032,0.05077517385071067,6.940825935833281,7.49875249580549,3.4798387096774195,13.400718916279015,0.0,0.0,0.0,0.0,13.316983776962253,16.599102675084183,9.619867939094144,5.14058826079013,568.3771600022139,1310.4343675042085,0.013918450382735143,0.031114875320164596,0.022701945991273634,0.04054242594866643,4.967741935483871,5.918805459255789,0.0,0.0,0.0,0.0,0.03945250307362726,0.06907235146402431,4.935483870967742,5.90443609427673,0.0,0.0,0.22073991022973927,0.32379854655503987
Nov_2022,30,830.1,2938.240082559392,1449.7,271.0100074497823,16125.333333333334,2726.9621007360142,0.3,0.466091599699399,2989.222222222222,180.02970433915743,31020.0,1806.384510562466,43.43809173175619,30.019414920725108,11.112627493721389,5.080011677474009,23.7,26.6809372735124,64.76666666666667,28.46253839618004,41.06666666666667,16.895078518933243,0.07072256156916411,0.02235982383912311,1.0,0.0,47.110480372706924,27.967440987801947,2.4676806659615624,1.850392611075814,0.04313202319478269,0.026538102800418944,7.633333333333334,5.189401223404418,47.154833333333336,27.918069092754536,2.397259642646834,1.9292039117707513,7.233333333333333,5.642714761979154,0.041333333333333326,0.02861556525236997,10.111485330704431,13.631142160247517,4.612869518320019,17.773039134338894,0.0,0.0,0.0,0.0,17.77116865003268,21.473693679859085,9.1660230309794,4.375489497845392,91.63219775321201,60.248033111590544,0.013604337786308707,0.03286914973648069,0.020472050451408152,0.042152001399694626,3.5,4.974070698165119,0.0,0.0,0.0,0.0,0.03430498050010031,0.06728168257397854,3.6,4.993789246101878,0.0,0.0,0.18109560750972956,0.31141667572859727
Dec_2022,31,2324.548387096774,5501.411726934035,1254.1935483870968,685.9688243331392,17078.709677419356,10807.082474604476,0.5483870967741935,0.5058794110206737,2207.235294117647,1087.7541961199095,26551.764705882353,11245.101286390287,31.994308770241975,30.10693101784199,10.56119206217452,7.531366805177819,14.741935483870968,26.194105878912893,50.54838709677419,33.144973183151436,35.806451612903224,23.058504367280932,0.05427259957493996,0.029829338763023325,0.967741935483871,0.17960530202677494,29.18324416793497,31.738462746402316,1.7181697873961164,2.3660191873298837,0.03003211921092434,0.036848805287594905,5.580645161290323,6.970290254828642,29.085,31.761826747423285,1.5422126712468693,2.4623769512515183,4.645161290322581,7.458991831325795,0.02612903225806452,0.039045052555122244,19.658874087693786,24.195860572436807,23.901724189732846,39.07766304942516,0.0,0.0,0.0,0.0,21.4304970835506,25.01186063250967,7.546780204650816,5.024779975176863,118.28104856752765,213.2964866438841,0.0026995668523304966,0.007997856830314022,0.006268667523733491,0.011468190450891777,2.161290322580645,3.397025897198395,0.0,0.0,0.0,0.0,0.011194883298609246,0.020469182447996066,2.2580645161290325,3.434799770345514,0.0,0.0,0.08156090002769392,0.1339781412213662
Jan_2023,24,953.3333333333334,3286.6107118146033,1339.4583333333333,440.8888235260052,15885.0,4052.691000782824,0.375,0.49453535504684026,2759.5555555555557,425.44098036951937,30127.777777777777,4022.007514220286,57.12540935223319,26.652005370407537,15.96266298204901,8.48512614751585,30.875,29.079071362482466,82.375,24.323566135853053,51.5,23.739528584015826,0.06295117329955276,0.0210572776379216,1.0,0.0,61.422969466255495,33.95381394322077,1.6653425624765743,1.55156439204867,0.03094407431535377,0.031498325327431326,5.375,4.480028144321533,61.416875000000005,34.00094064595541,1.6014643943473779,1.610244413601375,4.875,4.883980023460909,0.02875,0.03281204709832364,11.812617023073281,12.5966660035978,18.425584278489712,36.98787055228474,0.0,0.0,0.0,0.0,20.207783678997444,24.44256412907933,12.572750132408066,9.245782174544253,415.6767702753807,1580.0795173248353,0.001004661667883415,0.0026328832378563244,0.0024387709451236493,0.004551484523323644,1.5,2.265046309153236,0.0,0.0,0.0,0.0,0.004513676159083167,0.008474279113185159,1.5833333333333333,2.320357293826641,0.0,0.0,0.043373231252289236,0.06378199394325389
Feb_2023,28,2050.9285714285716,5056.201816534207,1542.6785714285713,512.1252779003886,16632.5,5148.751466779754,0.2857142857142857,0.46004370622823615,3329.25,171.49906288790203,34543.75,1543.5944832019284,25.781493136851932,20.08378694978884,11.265108636640093,6.530116226113179,9.071428571428571,15.584723221270178,49.25,22.695447414257632,40.17857142857143,18.42111021592623,0.06723892209172401,0.015335549179617235,1.0357142857142858,0.18898223650461365,27.476631925335592,21.78577895655347,1.88707524505053,1.934749996082445,0.033881066838574746,0.02916982749849382,5.928571428571429,4.791416487602801,27.475178571428568,21.802956242052524,1.844332961148816,1.9676790017311758,5.5,5.153208277913436,0.03196428571428571,0.03071190159320812,11.208994933858884,11.823411101218504,10.119897959183675,28.753198603306295,0.0,0.0,0.0,0.0,19.032609585978204,22.976418381238425,8.497377440560431,5.240158656004048,492.6293045271418,1533.9621434930377,0.011604952693678979,0.017309315271549896,0.02166818534604267,0.03096572845246711,5.214285714285714,5.050538239429191,0.0,0.0,0.0,0.0,0.03753051236962346,0.051445564219342634,5.75,5.467919910546254,0.0,0.0,0.22063583168010362,0.252562246480664
Mar_2023,31,1397.516129032258,4000.5192235589266,1834.0967741935483,586.4093766211854,19316.129032258064,6644.007163060233,0.3225806451612903,0.4751909633114914,3718.5,343.42789959789553,38153.0,3163.2544774154494,35.01260102059653,27.716603225296446,13.337245997373522,7.001774351717009,14.709677419354838,23.252517495799744,62.064516129032256,30.201474008035838,47.354838709677416,21.611028646035916,0.08424755735727234,0.025279250886036126,1.1290322580645162,0.3407771005482389,32.55042647692663,29.233691173392565,2.78380264871271,2.5724743095828018,0.057000975790247224,0.046251911882074385,9.0,7.362064927722384,32.56483870967742,29.25498075780917,2.722427621727158,2.6307772705632915,8.451612903225806,7.856371977265415,0.054354838709677424,0.04860970300059909,8.752485389124313,8.342474390845089,5.827739334386384,18.504179516862166,0.0,0.0,0.0,0.0,16.494443985030674,19.5900011519426,10.200043371419856,6.978638955948229,143.20498598117018,224.89355039094278,0.01825771520714181,0.032947879160249965,0.026112216298973423,0.04240252681252362,5.870967741935484,6.344246398556049,0.0,0.0,0.0,0.0,0.04605228287848663,0.07573523455023508,6.193548387096774,6.7102873998993005,0.0,0.0,0.24960349773671597,0.3421150944368547
