DELTA_V_DEADZONE,valid_points,ignored_percent,p50_abs_slope,p90_abs_slope,p95_abs_slope,p99_abs_slope,recommended_ERROR_GAIN,estimated_saturation_percent
4,24645,81.49983110010133,0.0,62.0,187.0,1062.0,1,9.158044228038142
8,24645,81.49983110010133,0.0,62.0,187.0,1062.0,1,9.158044228038142
16,24645,81.49983110010133,0.0,62.0,187.0,1062.0,1,9.158044228038142
24,416,99.68772285403296,0.0,31.0,93.0,610.0500000000021,1,4.086538461538462
32,416,99.68772285403296,0.0,31.0,93.0,610.0500000000021,1,4.086538461538462
48,90,99.93244004053598,0.0,20.0,52.54999999999994,366.9999999999997,1,3.3333333333333335
64,26,99.98048267837706,0.0,5.0,13.75,144.0,5,3.8461538461538463
