corner,clock,rank,slack_ns,from_node,to_node
Slow 1100mV 0C Model,clk_core,1,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,2,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,3,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,4,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,5,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,6,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,7,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,8,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,9,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Slow 1100mV 0C Model,clk_core,10,128.782,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[4]"
Fast 1100mV 85C Model,clk_osc,1,16.678,"u_clock_reset|clk_core_reg|q","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 85C Model,clk_osc,2,16.912,"u_clock_reset|clk_core_reg|q","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 85C Model,clk_osc,3,17.748,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 85C Model,clk_osc,4,17.856,"mppt_clock_reset_unit:u_clock_reset|div_count[1]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 85C Model,clk_osc,5,18.091,"mppt_clock_reset_unit:u_clock_reset|div_count[2]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 85C Model,clk_osc,6,19.202,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[1]"
Fast 1100mV 85C Model,clk_osc,7,19.215,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[2]"
Fast 1100mV 85C Model,clk_osc,8,19.220,"mppt_clock_reset_unit:u_clock_reset|div_count[1]","mppt_clock_reset_unit:u_clock_reset|div_count[2]"
Fast 1100mV 85C Model,clk_osc,9,19.283,"mppt_clock_reset_unit:u_clock_reset|div_count[2]","mppt_clock_reset_unit:u_clock_reset|div_count[2]"
Fast 1100mV 85C Model,clk_osc,10,19.285,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[0]"
Fast 1100mV 85C Model,clk_core,1,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,2,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,3,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,4,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,5,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,6,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,7,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,8,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,9,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 85C Model,clk_core,10,230.842,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_osc,1,17.023,"u_clock_reset|clk_core_reg|q","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 0C Model,clk_osc,2,17.203,"u_clock_reset|clk_core_reg|q","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 0C Model,clk_osc,3,17.865,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 0C Model,clk_osc,4,17.961,"mppt_clock_reset_unit:u_clock_reset|div_count[1]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 0C Model,clk_osc,5,18.183,"mppt_clock_reset_unit:u_clock_reset|div_count[2]","mppt_clock_reset_unit:u_clock_reset|clk_core_reg"
Fast 1100mV 0C Model,clk_osc,6,19.236,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[2]"
Fast 1100mV 0C Model,clk_osc,7,19.245,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[1]"
Fast 1100mV 0C Model,clk_osc,8,19.263,"mppt_clock_reset_unit:u_clock_reset|div_count[1]","mppt_clock_reset_unit:u_clock_reset|div_count[2]"
Fast 1100mV 0C Model,clk_osc,9,19.296,"mppt_clock_reset_unit:u_clock_reset|div_count[2]","mppt_clock_reset_unit:u_clock_reset|div_count[2]"
Fast 1100mV 0C Model,clk_osc,10,19.303,"mppt_clock_reset_unit:u_clock_reset|div_count[0]","mppt_clock_reset_unit:u_clock_reset|div_count[0]"
Fast 1100mV 0C Model,clk_core,1,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,2,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,3,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,4,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,5,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,6,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,7,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,8,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,9,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
Fast 1100mV 0C Model,clk_core,10,236.774,"hybrid_pso_fuzzy_mppt:u_hybrid_controller|prev_voltage[3]","hybrid_pso_fuzzy_mppt:u_hybrid_controller|pno_candidate[1]"
