month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_converged,N_conv_duty_stable,T_conv_duty_stable_seconds,duty_mean_after_stable,duty_std_after_stable,duty_step_mean_after_stable,duty_range_after_stable,duty_saturation_percent,duty_saturation_after_stable_percent,gbest_consistency_violations,gbest_monotonic_violations,stability_score,duty_std_after_conv,P_ripple_after_conv,mean_abs_error,std_abs_error
Apr_2023,20230401,4260,45000.0,2083,21710.0,1,492,5800.0,79.76565817409767,0.7146827832554613,0.6345541401273885,8.0,0.023474178403755867,0.0,0,0,31.75372397595984,0.7313471336703626,14659.063167726554,12.810093896713616,31.801027057278077
Apr_2023,20230402,4221,47001.0,2626,27130.0,1,199,2860.0,79.74714072600696,0.8163709978649147,0.6949278965688712,8.0,0.0,0.0,0,0,30.199629567749863,0.9338066729867182,11574.578390667402,29.572850035536604,44.370640693996656
Apr_2023,20230403,4152,51001.0,1614,17810.0,1,199,3660.0,79.75082216038452,0.79496769788645,0.6820136605110043,8.0,0.0,0.0,0,0,30.515889186779845,0.795516193753985,15141.189859540793,24.90703275529865,42.17846504639364
Apr_2023,20230404,4241,51001.0,1679,17670.0,1,199,2870.0,79.74369124195943,0.8238080899304665,0.6999010390895596,8.0,0.0,0.0,0,0,30.08686865131437,0.7819877785381251,14149.930420169705,28.692996934685215,44.32413915457994
Apr_2023,20230405,4333,50998.0,1616,17150.0,1,199,2980.0,79.72085147556845,0.8823706332280424,0.7416545718432511,8.0,0.0,0.0,0,0,29.20539248714959,0.8686610784859395,17626.821702952606,43.59681513962612,48.8712023791853
Apr_2023,20230406,4315,51001.0,1703,18000.0,1,199,2960.0,79.7592322643343,0.8267107045717594,0.7048104956268222,8.0,0.0,0.0,0,0,30.016318069367024,0.8387201213979777,17702.94530540819,27.564310544611818,43.716764722564236
Apr_2023,20230407,4418,46001.0,2152,22480.0,1,199,2950.0,79.76060677885755,0.6920624351122078,0.6202891680493008,8.0,0.0,0.0,0,0,32.130045942887875,0.6953307265318195,15783.126941507664,9.722498868266184,27.57223531384532
Apr_2023,20230408,4286,44001.0,2122,22160.0,1,199,2930.0,79.74847076094935,0.7002251127883972,0.6224614631759237,8.0,0.0,0.0,0,0,32.02370701232444,0.7099888662863558,13524.431324308889,9.472935137657489,26.73060365273605
Apr_2023,20230409,4320,44001.0,2148,22380.0,1,199,2890.0,79.752972579471,0.7908036476897337,0.6745935452560058,8.0,0.0,0.0,0,0,30.624145882170385,0.8157756353335871,14609.990769513492,22.38125,39.909892375638584
Apr_2023,20230410,4355,44999.0,2189,22680.0,1,199,2780.0,79.75769971126083,0.7473987958953462,0.6523099133782483,8.0,0.0,0.0,0,0,31.252844894966152,0.7326499836784531,13988.11940360964,16.406888633754306,35.614311589845464
Apr_2023,20230411,4341,42000.0,2703,28010.0,1,199,2970.0,79.72501207146306,0.8665883150325118,0.7247706422018348,8.0,0.0,0.0,0,0,29.4867046694314,0.8589475654175139,9364.450575316778,33.102280580511405,46.080206041281656
Apr_2023,20230412,4408,47999.0,2618,27050.0,1,199,2820.0,79.77001663102875,0.925630000600843,0.7714421477785698,8.0,0.0,0.0,0,0,28.5953494114616,0.9348557982234446,13628.739768617257,43.612976406533576,48.93865546356682
Apr_2023,20230413,4437,51001.0,2395,24870.0,1,199,2910.0,79.77654554034922,0.7817526931442631,0.6819254365266635,8.0,0.0,0.0,0,0,30.640276408042386,0.8279509501515964,17303.283105043945,19.555104800540906,38.718061903982246
Apr_2023,20230414,4491,51001.0,1687,17700.0,1,199,2820.0,79.76374650512581,0.7174034195097632,0.6374650512581547,8.0,0.0,0.0,0,0,31.697042500050497,0.6927558827968967,16116.73853068927,12.4604765085727,31.192190125908763
Apr_2023,20230415,4325,45000.0,1934,20400.0,1,199,3050.0,79.75133301017935,0.8100681106334303,0.6904992729035385,8.0,0.0,0.0,0,0,30.29782106518836,0.8707047702677461,13957.610660359984,27.351676300578035,43.46582573189763
Apr_2023,20230416,4329,50001.0,2757,28540.0,1,199,2960.0,79.76440677966102,0.801392557155131,0.6823244552058111,8.0,0.0,0.0,0,0,30.45329412478865,0.7797910372891151,10283.350946747178,21.22222222222222,39.42336860537824
Apr_2023,20230417,4536,44001.0,1934,20170.0,1,199,2820.0,79.76919529628776,0.6842260171346859,0.6167857966336177,8.0,0.0,0.0,0,0,32.247539192210134,0.7015574379067884,14951.11542929993,10.292548500881834,28.32330587340625
Apr_2023,20230418,4549,50001.0,2132,22210.0,1,199,2840.0,79.76781609195402,0.889050205212689,0.7489655172413793,8.0,0.0,0.0,0,0,29.086545284504876,0.8856015393510625,13769.448348470347,35.063530446251924,47.068791326193605
Apr_2023,20230419,4658,49999.0,1664,17200.0,1,199,2550.0,79.76945503476115,0.7298972954132712,0.6510428347163041,8.0,0.0,0.0,0,0,31.437246822978246,0.724063258227515,9867.524437460166,16.41112065264062,36.124340015875795
Apr_2023,20230420,4375,49999.0,2421,26260.0,1,199,4040.0,79.74976053639847,0.8304821138626912,0.7095306513409961,8.0,0.0,0.0,0,0,29.940005332255545,0.8622832343528904,12299.651854254049,29.959314285714285,45.093062227743914
Apr_2023,20230421,4637,42000.0,2064,21740.0,1,199,3090.0,79.7643082469581,0.7220826105392156,0.6421811626858945,8.0,0.0,0.0,0,0,31.602927937349886,0.7529958648897247,15751.60157538035,12.94026310114298,32.106704554112504
Apr_2023,20230422,4649,49999.0,2122,22190.0,1,199,2960.0,79.75280898876404,0.8557567394604851,0.72,8.0,0.0,0.0,0,0,29.62298759003057,0.8952575890106244,17111.76951307567,29.678855667885568,44.71900587139296
Apr_2023,20230423,4457,51001.0,2616,27400.0,1,199,3230.0,79.7498825739784,0.7235468684021005,0.6385627054955378,8.0,0.0,0.0,0,0,31.624457553739767,0.7132145452816118,9282.745367656358,14.711465111061251,33.4222312842133
Apr_2023,20230424,4605,51001.0,1941,20470.0,1,199,3050.0,79.75714934180662,0.8645036624903747,0.7265093054925102,8.0,0.0,0.0,0,0,29.489713234415657,0.8710356632820122,13547.157222845797,36.70358306188925,47.42319317425422
Apr_2023,20230425,4727,50001.0,2662,27280.0,1,199,2650.0,79.73741166077738,0.964900063573865,0.7957155477031802,8.0,0.0,0.0,0,0,28.08503105004759,0.9266732306809999,14775.26715048765,46.98159509202454,49.30688314967686
Apr_2023,20230426,4354,50001.0,1719,18160.0,1,199,2960.0,79.76149217809868,0.8307172664730832,0.7097472924187725,8.0,0.0,0.0,0,0,29.935955983671132,0.7874716164490551,10841.818228980746,30.4664676159853,45.457850518208616
Apr_2023,20230427,4580,51001.0,1414,15350.0,1,199,3200.0,79.75005706459713,0.9097784975207468,0.7591874001369551,8.0,0.0,0.0,0,0,28.82703461210775,0.896779075516223,16424.776579125537,40.30829694323144,48.50147676580468
Apr_2023,20230428,4661,51001.0,1809,19250.0,1,199,3150.0,79.75123263110713,0.8192194004245966,0.6925145674585388,8.0,0.0,0.0,0,0,30.195662142487887,0.8876979373870608,16909.604339257177,24.660158764213687,42.11272857514053
Apr_2023,20230429,4481,47000.0,1982,20960.0,1,199,3130.0,79.76786548341896,0.6754718026382845,0.6153666510976179,8.0,0.0,0.0,0,0,32.35368056170318,0.6747574166991022,15261.513046091435,10.200401696049989,27.828580982174802
