month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_std_after_conv,P_ripple_after_conv,mean_abs_error,std_abs_error
Sep_2022,20220901,4561,1375.0,2540,47260.0,0.7785835892728422,341.09585107476937,3.362201271650954,15.074156194557023
Sep_2022,20220902,4594,1249.0,2679,49120.0,0.7659489526450237,213.3909497805323,2.8593818023508923,13.439020178827473
Sep_2022,20220903,4872,1312.0,2245,44730.0,0.7535933934887327,448.56050245289765,3.856527093596059,15.901169776285148
Sep_2022,20220904,4870,1249.0,2182,42830.0,0.760766288787305,462.9785592760733,2.8240246406570844,12.043259032856495
Sep_2022,20220905,4722,1218.0,1887,41000.0,0.7513446445648817,464.2395576141024,3.153113087674714,13.33183523775052
Sep_2022,20220906,4624,1218.0,1778,39690.0,0.7493469222551098,456.16911321748046,3.066392733564014,13.163382188333014
Sep_2022,20220907,4495,1468.0,2691,47800.0,0.7721215128962085,303.8763412508569,4.962625139043381,18.905097121066472
Sep_2022,20220908,4492,1218.0,1866,41510.0,0.8014476619919819,474.2451022554794,4.400712377560107,16.707103369174618
Sep_2022,20220909,4502,16384.0,569,26940.0,0.7809344207375649,3693.608791386484,5.739449133718347,21.207009515101777
Sep_2022,20220910,2887,1499.0,583,33220.0,0.7411639916476495,232.55967582689266,3.024593003117423,13.489084084200204
Sep_2022,20220911,4219,1593.0,1777,18220.0,0.7624388004358224,424.8380622302325,4.364304337520739,17.658468070658706
Sep_2022,20220912,4041,1593.0,1989,20210.0,0.783665158374712,309.9811839534344,4.733729274931948,19.01109298827577
Sep_2022,20220913,3461,1593.0,1766,17660.0,0.7556745864574862,436.8052223761796,5.082635076567466,20.326513668355823
Sep_2022,20220914,3746,1593.0,954,9540.0,0.7535950753220017,440.79873590428,4.284303256807261,18.783711782095068
Sep_2022,20220915,4055,16384.0,0,0.0,0.7823997846286534,456.67671296993586,5.473242909987669,21.270040301308153
Sep_2022,20220916,4001,1531.0,1914,19240.0,0.7553428649536759,432.1660124658261,4.636090977255686,18.90313564241978
Sep_2022,20220917,4208,1437.0,1927,19410.0,0.7672600717623456,483.2314816317149,4.892585551330798,19.330027830134213
Sep_2022,20220918,3627,1437.0,1902,41290.0,0.7792838797754756,515.6740836824434,4.094844223876482,16.88020617807057
Sep_2022,20220919,4198,16384.0,0,0.0,0.7610662119859092,466.8943537075367,2.7841829442591712,13.220193701412207
Sep_2022,20220920,4063,1218.0,1796,18280.0,0.7540912342482097,462.68541218451674,3.6362293871523503,15.432069876019495
Sep_2022,20220921,4121,1312.0,1756,18040.0,0.7361493820941561,417.08401107630175,2.668527056539675,12.901128948485283
Sep_2022,20220922,4055,16384.0,0,0.0,0.7642075047462169,516.4850655001028,3.5669543773119607,16.34784362207748
Sep_2022,20220923,4109,1312.0,1835,18960.0,0.7415603542866729,433.5328296359017,2.3424190800681433,11.042024005888916
Sep_2022,20220924,4108,1250.0,1786,18470.0,0.7590468079035155,409.6690073191301,2.415530671859786,10.792999845467651
Sep_2022,20220925,4129,1281.0,2017,20790.0,0.7629257854671057,421.5504322108995,3.007750060547348,12.715027960883228
Sep_2022,20220926,4109,16384.0,0,0.0,0.768578143523825,535.1312825165621,3.505232416646386,13.950681122220026
Sep_2022,20220927,3406,16384.0,3404,51600.0,0.0,0.0,10.698766881972988,29.733060725297776
Sep_2022,20220928,4081,16384.0,0,0.0,0.7433683082188426,485.0150482118246,2.456995834354325,11.72830394489148
Sep_2022,20220929,4079,1250.0,1648,17130.0,0.755562142557651,411.6679902954678,1.6891394949742584,8.297435283884234
Sep_2022,20220930,4129,16384.0,0,0.0,0.7644288658643859,526.2836447759696,3.244126907241463,13.645443911931123
