month,timestamp_date,n_samples,P_best_final,N_conv_98,T_conv_98_seconds,duty_std_after_conv,P_ripple_after_conv,mean_abs_error,std_abs_error
Nov_2022,20221101,3389,1187.0,1714,18580.0,0.6054856018650414,341.49490357407666,2.274712304514606,11.612257432617248
Nov_2022,20221102,3366,1156.0,1657,18060.0,0.5997624492690661,331.32902513280925,1.815805109922757,9.80992915394369
Nov_2022,20221103,3367,1531.0,1459,14590.0,0.645476574121272,370.6058198572224,7.534006534006534,24.716009424685083
Nov_2022,20221104,3480,1375.0,2114,22760.0,0.6576823160810291,390.4279547852126,4.333333333333333,18.300981847207318
Nov_2022,20221105,3089,1562.0,1244,14760.0,0.638363171935565,327.72565183026666,4.434768533505989,19.13416553596238
Nov_2022,20221106,3470,1156.0,1440,16160.0,0.6044673656941673,396.33711674723475,1.9835734870317003,9.510505542741289
Nov_2022,20221107,3437,1125.0,1403,15760.0,0.601933964250513,376.0481131884011,2.0538260110561537,9.099134561246222
Nov_2022,20221108,3385,1125.0,1452,16270.0,0.6151588031140107,370.61568312700024,2.992909896602659,13.86295032797698
Nov_2022,20221109,3236,1093.0,1542,17220.0,0.6105484366725543,311.36244145995323,2.0318294190358466,10.357470428857084
Nov_2022,20221110,3397,1125.0,1681,18600.0,0.6389839927528862,344.45248219638404,3.458934353841625,16.365448115847524
Nov_2022,20221111,3233,1093.0,1312,14930.0,0.6097786426722164,326.7037025419516,2.2251778533869473,10.975728038657333
Nov_2022,20221112,3306,1125.0,1394,15700.0,0.5940388243613813,372.2480866154039,1.561101028433152,8.156193781550044
Nov_2022,20221113,3449,1187.0,1636,17530.0,0.6573917797109283,361.8430440260154,3.842563061757031,17.668524911467248
Nov_2022,20221114,3399,1218.0,1471,15750.0,0.6246707030968153,328.65945635035104,4.067372756693145,17.04221787225795
Nov_2022,20221115,3220,1343.0,1409,15150.0,0.6818115154905596,242.5906311465888,4.9937888198757765,20.498296065513273
Nov_2022,20221116,3259,1468.0,1504,15900.0,0.6429136888304369,421.1304000582667,5.299785210187174,21.307391785604178
Nov_2022,20221117,3322,1093.0,1446,16550.0,0.5963051359913529,383.0847069468023,1.4142083082480434,8.362893360325305
Nov_2022,20221118,3476,1281.0,1503,15690.0,0.6495327664261537,227.5342272603551,3.371116225546605,15.04056156219574
Nov_2022,20221119,3271,1187.0,1619,17750.0,0.6295850046924434,346.2605079325774,5.063894833384286,19.936057155751158
Nov_2022,20221120,3096,406.0,1856,20380.0,0.6105527087135233,86.84024851120701,1.6598837209302326,8.806497409652508
Nov_2022,20221121,3283,1374.0,2036,20860.0,0.6080551078192038,236.58159756049974,1.9616204690831556,11.605951059419185
Nov_2022,20221122,3275,812.0,524,6720.0,0.6040662801798072,108.39551744471875,2.7230534351145037,13.49600960805675
Nov_2022,20221123,2843,343.0,1152,15270.0,0.5983588433843977,82.96355779250163,1.0193457615195216,6.613538669340668
Nov_2022,20221124,3282,1281.0,1441,15510.0,0.6116566210868305,234.47551809834624,1.8385131017672152,11.790283840256427
Nov_2022,20221125,3195,1374.0,1536,18140.0,0.6490322829660969,386.82388857119304,4.581533646322379,19.371669713867533
Nov_2022,20221126,3241,1062.0,1283,15220.0,0.6059084567831767,387.3632073109457,1.5671089170009256,9.233187153050503
Nov_2022,20221127,3316,16384.0,1457,17170.0,0.6174863617587301,483.2140053233499,3.4794933655006033,16.05888115080382
Nov_2022,20221128,3164,1062.0,1346,16180.0,0.6098321960238616,381.07431890549,1.1463337547408343,8.21893066067869
Nov_2022,20221129,3369,1124.0,1335,14580.0,0.6297471934859374,362.00508984190276,3.1439596319382606,16.1174723685761
Nov_2022,20221130,3421,1062.0,1230,13070.0,0.6401537498536488,380.07759378107403,3.897106109324759,18.646698133237177
